CODE,INITIATIVE,PRODUCT,PRODUCT_FAMILY,PRODUCT_INDUSTRY
BCTT,N/A,BuildingConnected TradeTapp,ACS,AEC
BDIWPR,N/A,Brdge Desgn InfraWorks 360,InfraWorks,AEC
BDSADALC,N/A,Bldg Design Suite Ult Allow,Building Design Suite,AEC
BDSADV,N/A,Building Design Suite Ultimate,Building Design Suite,AEC
BDSPRALC,N/A,Bldg Design Suite Prm Alloc,Building Design Suite,AEC
BDSPRM,N/A,Building Design Suite Premium,Building Design Suite,AEC
BDSS,N/A,Building Design Suite Standard,Building Design Suite,AEC
BDSSALC,N/A,Bldg Design Suite Std Alloc,Building Design Suite,AEC
BIM360,N/A,BIM 360 Glue Named User,BIM Family,AEC
BIM360C,N/A,BIM 360 Cost,BIM Family,AEC
BIM360T,N/A,BIM 360 Team-Single User,BIM Family,AEC
BLDOPS,N/A,BIM 360 Ops,BIM Family,AEC
BLDSYS,N/A,AutoCAD MEP,AutoCAD,AutoCAD Family
BM360F,N/A,BIM 360 Field,BIM Family,AEC
BM36DP,N/A,BIM 360 Docs - Packs,BIM Family,AEC
BM36PP,N/A,BIM 360 Plan - Packs,BIM Family,AEC
BM36T25,N/A,BIM 360 Team-25 Usr Pk,BIM Family,AEC
BM36TC,N/A,BIM 360 Team-100 Usr Pk,BIM Family,AEC
BM36TP,N/A,BIM 360 Team - Packs,BIM Family,AEC
BRDGMD,N/A,Bridge Module,Civil,AEC
BZSW,N/A,tredence_analytics Buzzsaw Standard,Buzzsaw,AEC
CADMEP,N/A,Fabrication CADmep,Fabrication CADmep,AEC
CAMDCT,N/A,Fabrication CAMduct,Fabrication CAMduct,AEC
CAMTS,N/A,CAM Training Services,D&M Collection,D&M
CF360U,N/A,Config 360 - Unlimited Config,Configurator 360,D&M
CFDCSE,N/A,CFD - coud srv entitlement,CFD,D&M
CFDFLX,N/A,CFD Flex,CFD,D&M
CFG360,N/A,Configurator 360 - Standard,Configurator 360,D&M
CHRGEN,N/A,Character Generator,Character Generator,M&E
CIV3D,N/A,tredence_analytics Civil 3D,Civil 3D,AEC
CIV3DALC,N/A,ACAD Civil 3D Allocation,Civil 3D,AEC
CLDCR,N/A,Cloud Credits,Cloud Credits,AEC
CNSL,N/A,ServSupp Consulting,AC-ARCH,AEC
CNSTRMGR,N/A,tredence_analytics Buzzsaw Professional,Buzzsaw,AEC
COCAVFL,N/A,coolOrng Conn for Vlt & Fsn Lc,Fusion Lifecycle,D&M
COLLRP,N/A,BIM 360 Design,BIM 360 Design,AEC
COLLRVT,N/A,Coll for Revit-Single User,Revit,AEC
CONCRD,N/A,Revit Collaboration Suite,Revit,AEC
CORP,N/A,Corporate,Other Products,CORP
CWARE,N/A,Generic Constuctware,Constructware,AEC
DCMVRD,N/A,Disp Cluster Mod TATA VRED Des,VRED,D&M
DDIW360,N/A,Drnage Dsgn for InfraWorks 360,InfraWorks,AEC
DELCAM,N/A,DELCAM,DELCAM,D&M
DESNST,N/A,tredence_analytics DesignStudio,Alias,D&M
DEVSP,N/A,Developer Support Program,M&E Co Lab,M&E
DIGWKP,N/A,Digital Workplace,TFLEX,MULTI
DSADV,N/A,Design Suite Ultimate,AutoCAD,AutoCAD Family
DSPRM,N/A,Design Suite Premium,AutoCAD,AutoCAD Family
DSPRMALC,N/A,Design Suite Prm Allocation,AutoCAD,AutoCAD Family
DSSTD,N/A,Design Suite Standard,AutoCAD,AutoCAD Family
DSSTDALC,N/A,Design Suite Std Allocation,AutoCAD,AutoCAD Family
DYNSTD,N/A,Dynamo Studio,Dynamo Studio,AEC
ECSCAD,N/A,AutoCAD ECSCAD,AutoCAD,AutoCAD Family
EFLXRO,N/A,Flex Subscription Cloud Srvs,AutoCAD Utility Des,AutoCAD Family
EGLPRM,N/A,Fusion 360 with EAGLE Premium,Fusion,D&M
EGLSTD,N/A,Fusion 360 with EAGLE Stndr,Fusion,D&M
EMBER,N/A,Ember,DMG,PSEB
EMFEB,N/A,Ent Multi-Flex Enhanced Bndl,tredence_analytics 360 WEB SER,AEC
EMS,N/A,EDU Master Suite,Education,PSEB
ENCSU,N/A,Entertainment Creation Ste Ult,M&E Collection,M&E
ESTMEP,N/A,Fabrication ESTmep,Fabrication,AEC
F360,N/A,Fusion 360,Fusion,D&M
F360B,N/A,Fusion 360 - Legacy,Fusion,D&M
F360CC,N/A,Fusion 360 - with Cloud Crdts,Fusion,D&M
F360PMU,N/A,Fusion 360 with PowerMill Ult,DELCAM,D&M
F360PRO,N/A,Fusion 360 - Ultimate,Fusion,D&M
F36FC,N/A,Fusion 360 - with FeatureCAM,Fusion,D&M
F36FCS,N/A,Fsn360 - with FeatureCAM Std,Fusion,D&M
F36GDIA,N/A,F360-Gen Dsgn Exten-Indv Accs,Fusion,D&M
F36MEIA,N/A,Fsn360-Mfg Exten-Indiv Access,Fusion,D&M
F36TP,N/A,Fusion 360 Team - Participant,Fusion Lifecycle,D&M
FCAMP,N/A,FeatureCAM - Premium,D&M Collection,D&M
FCAMS,N/A,FeatureCAM - Standard,D&M Collection,D&M
FCAMU,N/A,FeatureCAM - Ultimate,FeatureCAM,D&M
FDSADV,N/A,Factory Design Suite Ultimate,D&M Collection,D&M
FDSPRM,N/A,Factory Design Suite Premium,D&M Collection,D&M
FDSS,N/A,Factory Design Suite Standard,D&M Collection,D&M
FDU,N/A,Factory Design Utilities,PD&M Collection,D&M
FLCEDM,N/A,FSN Lifecycl - Ent - dly mtrng,Fusion Lifecycle,D&M
FLMEDU,N/A,Flame - Education,Flame,M&E
FORMIT,N/A,FormIt Pro,FormIt,AEC
FSN360,N/A,Fusion 360 - Erly adptr - Leg,Fusion,D&M
FSNT,N/A,Fusion Team-Single User,Fusion,D&M
FUSPRD,N/A,Fusion Production,Fusion,D&M
GENERIC,GENERIC,GENERIC,N/A,N/A
GENMA,N/A,Generic - M&A,ACS,AEC
GENNSW,N/A,Generic - Non-software,Other Products,CORP
GENSW,N/A,Generic - Software,AEC OTHER,AEC
GEOMOD,N/A,Geotechnical Module,Civil,AEC
HSMPREM,N/A,HSM - Premium,HSM,D&M
HSMPRM,N/A,HSMWorks - Ultimate,HSMWorks,D&M
HSMPRO,N/A,HSMWorks - Premium,HSMWorks,D&M
HSMULT,N/A,HSM - Ultimate,Inventor,D&M
HSTYLR,N/A,Homestyler,DMG,PSEB
IDSP,N/A,Infrastruc Design Ste Premium,AEC Collection,AEC
IDSS,N/A,Infrastruc Design Ste Standard,AEC Collection,AEC
IDSU,N/A,Infrastruc Design Ste Ultimate,AEC Collection,AEC
IETODEV,N/A,Inventor ETO - Developer,Inventor,D&M
IETODIS,N/A,Inventor ETO - Distribution,Inventor,D&M
IETOSRV,N/A,Inventor ETO - Server,Inventor,D&M
IMS,N/A,Infrastructure Map Server,Infrastructure Map Server,AEC
IMS5A,N/A,Infrstrct Map Srv 5 Activ,Infrastructure Map Server,AEC
INFMDR,N/A,TATA InfraWorks,InfraWorks,AEC
INHSMP,N/A,Inventor CAM - Ultimate,PD&M Collection,D&M
INSTM,N/A,Instructables Membership,DMG,PSEB
INSTO,N/A,Instructables Other,DMG,PSEB
INTSER,N/A,Inv Engineer-To-Order Server,Inventor,D&M
INVAR,N/A,Inventor Automation Runtime,Inventor,D&M
INVETO,N/A,Inv Engineer-to-Order Series,Inventor,D&M
INVHSM,N/A,Inventor CAM - Premium,Inventor,D&M
INVLT,N/A,tredence_analytics Inventor LT,Inventor LT,D&M
INVLTS,N/A,AutoCAD Inventor LT Suite,Inventor LT,D&M
INVNTOR,N/A,tredence_analytics INVENTOR,Inventor,D&M
INVOEM,N/A,Inventor OEM,Inventor,D&M
INVPROSA,N/A,Inventor Professional,Inventor,D&M
INVPUB,N/A,tredence_analytics Inventor Publisher,Inventor,D&M
INVTOL,N/A,Inventor Tolerance Analysis,PD&M Collection,D&M
IW360P,N/A,InfraWorks,InfraWorks,AEC
JBPAE,N/A,Jitterbit Pro Addnl Endpts,Fusion Lifecycle,D&M
JBPRO,N/A,Jitterbit Professional,Fusion Lifecycle,D&M
JBSAEP,N/A,Jitterbit Std Addnl Endpts Prm,Fusion Lifecycle,D&M
K100,N/A,Lustre,Lustre,M&E
LICIV3D,N/A,Leica Infinity for Civil 3D,AutoCAD,AEC
