CODE,INITIATIVE,PRODUCT,PRODUCT_FAMILY,PRODUCT_INDUSTRY
AUTOCAD-PLANT-3D,N/A,AutoCAD Plant 3D,AutoCAD,AutoCAD Family
AUTOCAD-RASTER-DESIGN,N/A,AutoCAD Raster Design,AutoCAD,AutoCAD Family
AUTOCAD-STRUCTURAL-DETAILING,N/A,AutoCAD Structural Detailing,AutoCAD,AutoCAD Family
AUTOCAD-UTILITY-DESIGN,N/A,AutoCAD Utility Design,AutoCAD,AutoCAD Family
AUTOCAD-WEB-APP,N/A,AutoCAD Web,AutoCAD,AutoCAD Family
AUTOCADLT,N/A,AutoCAD LT,AutoCAD LT,AutoCAD Family
tredence_analytics,tredence_analytics brand,N/A,N/A,N/A
tredence_analytics-AUTOCAD,N/A,AutoCAD,AutoCAD,AutoCAD Family
tredence_analytics-AUTOCAD-LT,N/A,AutoCAD LT,AutoCAD LT,AutoCAD Family
AUTOST_S,N/A,VRED Professional,VRED,D&M
B200,N/A,Smoke,Smoke,M&E
B36D1A,N/A,BIM 360 Docs,BIM Family,AEC
B36F1A,N/A,BIM 360 Field,BIM Family,AEC
B36FCA,N/A,BIM 360 Field,BIM Family,AEC
B36GP,N/A,BIM 360 Packs,BIM Family,AEC
B36P1,N/A,BIM 360 Plan,BIM Family,AEC
B36P1A,N/A,BIM 360 Plan,BIM Family,AEC
B36P25A,N/A,BIM 360 Plan,BIM Family,AEC
B36PC,N/A,BIM 360 Plan,BIM Family,AEC
B36PCA,N/A,BIM 360 Plan,BIM Family,AEC
B36PM,N/A,BIM 360 Plan,BIM Family,AEC
B36PMA,N/A,BIM 360 Plan,BIM Family,AEC
BD8KP,N/A,BIM 360 Docs,BIM Family,AEC
BD8KPA,N/A,BIM 360 Docs,BIM Family,AEC
BDS,N/A,Building Design Suite,Building Design Suite,AEC
BF8KP,N/A,BIM 360,BIM Family,AEC
BG8KP,N/A,BIM 360 Glue Enterprise,BIM Family,AEC
BG8KPA,N/A,BIM 360 Glue,BIM Family,AEC
BIM BUILDING DESIGN,N/A,Building Design Suite,Building Design Suite,AEC
BIM-36-DESIGN,N/A,BIM 360 Design,BIM 360 Design,AEC
BIM-360,N/A,BIM 360,BIM Family,AEC
BIM-360-DESIGN,N/A,BIM 360 Design,BIM 360 Design,AEC
BIM-360-DOCS,N/A,BIM 360 Docs,BIM Family,AEC
BIM-360-FIELD,N/A,BIM 360 Field,BIM Family,AEC
BIM-360-GLUE,N/A,BIM 360 Glue,BIM Family,AEC
BIM-360-OPS,N/A,BIM 360 Ops,BIM Family,AEC
BIM-360-PLAN,N/A,BIM 360 Plan,BIM Family,AEC
BIM-360-TEAM,N/A,BIM 360 Team,BIM Family,AEC
BIM360ACS,N/A,BIM 360,BIM Family,AEC
BIM360P,N/A,BIM 360 Plan,BIM Family,AEC
BIMCENTER,N/A,BIM,BIM Family,AEC
BM360D,N/A,BIM 360,BIM Family,AEC
BM360HQ,N/A,BIM 360,BIM Family,AEC
BM360P,N/A,BIM 360 Plan,BIM Family,AEC
BM36TK,N/A,BIM 360 Team,BIM Family,AEC
BP8KP,N/A,BIM 360 Plan,BIM Family,AEC
BP8KPA,N/A,BIM 360 Plan,BIM Family,AEC
BUZZSAW,N/A,Buzzsaw,Buzzsaw,AEC
C300,N/A,tredence_analytics Burn,Burn,Other
CAM,N/A,Inventor LT,Inventor LT,D&M
CAMLTE,N/A,Fabrication CADduct,Fabrication CADduct,AEC
CFD,N/A,CFD,CFD,D&M
CHARACTER-GENERATOR,N/A,Character Generator,Character Generator,M&E
CIV3DCO,N/A,AutoCAD Civil 3D,AutoCAD,AutoCAD Family
CIVIL,N/A,AutoCAD Civil 3D,AutoCAD,AutoCAD Family
CIVIL 3D,N/A,AutoCAD Civil 3D,AutoCAD,AutoCAD Family
CIVIL-3D,N/A,AutoCAD Civil 3D,AutoCAD,AutoCAD Family
CIVIL-ENGINEERING-DATA-TRANSLATOR,N/A,Civil Engineering Data Translator,Civil Engineering Data Translator,AEC
CIVSER,N/A,AutoCAD Civil 3D,AutoCAD,AutoCAD Family
COLLABORATION-FOR-REVIT,N/A,Collaboration for Revit,Revit,AEC
CONFIGURATOR-360,N/A,Nastran,Inventor,D&M
CONSTRUCTWARE,N/A,Constructware,Constructware,AEC
CROSS,Cross Industry,N/A,N/A,N/A
CVEDT,N/A,Civil Engineering Data Translator,Civil Engineering Data Translator,AEC
DESIGN-REVIEW,N/A,Design Review,Design Review,AEC
DWFCOM,N/A,Design Review,Design Review,AEC
DYNAMO,N/A,Dynamo Studio,Dynamo,AEC
DYNAMO-STUDIO,N/A,Dynamo Studio,Dynamo Studio,AEC
EAGLE,N/A,Eagle,Eagle,D&M
EBD,EBD,N/A,N/A,N/A
EC-PRODUCTS,N/A,Unknown,AEC Collection,AEC
ECOA,N/A,tredence_analytics Ecotect Analysis,Ecotect Analysis,AEC
ECOTCT,N/A,tredence_analytics Ecotect Analysis,Ecotect Analysis,AEC
ESAE,N/A,Building Design Suite,Building Design Suite,AEC
ESCSE,N/A,Infrastructure Design Suite Premium,AEC Collection,AEC
ESEC,N/A,Entertainment Creation Suite for Education,M&E Collection,M&E
ESME,N/A,tredence_analytics Product Design Suite for Education,D&M Collection,D&M
FABMEP,N/A,tredence_analytics Fabrication FABmep,Fabrication FABmep,AEC
FABRICATION,N/A,Fabrication Products,Fabrication,D&M
FABRICATION-PRODUCTS,N/A,Fabrication Products,Fabrication,D&M
FACTORY-DESIGN-UTILITIES,N/A,Factory Design Utilities,Factory Design,D&M
FBX,N/A,FBX,Factory Design,D&M
FCMSLH,N/A,tredence_analytics FeatureCAM - Standard - license holder,FeatureCAM,D&M
FEATURECAM,N/A,FeatureCAM,FeatureCAM,D&M
FLAME,N/A,Flame,Flame,M&E
FLOW-DESIGN,N/A,Flow Design,Flow Design,AEC
FOM,Future of Making Things,N/A,N/A,N/A
FOMT,Future of Making Things,N/A,N/A,N/A
FORGE,N/A,Forge,Forge,D&M
FORMIT-360,N/A,FormIt 360,FormIt,AEC
FRSTYL,N/A,AutoCAD Freestyle,AutoCAD,AutoCAD Family
FSNT25,N/A,Fusion Team,Fusion,D&M
FSNTC,N/A,Fusion Team,Fusion,D&M
FUSION-36,N/A,Fusion 360,Fusion,D&M
FUSION-360,N/A,Fusion 360,Fusion,D&M
FUSION-361,N/A,Fusion 360,Fusion,D&M
FUSION-362,N/A,Fusion 360,Fusion,D&M
FUSION-363,N/A,Fusion 360,Fusion,D&M
FUSION-364,N/A,Fusion 360,Fusion,D&M
FUSION-365,N/A,Fusion 360,Fusion,D&M
FUSION-PRODUCTION,N/A,Fusion 360,Fusion,D&M
GBS,N/A,Green Building Studio,Green Building Studio,D&M
GENERATIVE DESIGN,Generative Design,N/A,N/A,N/A
GFP,Global Field Promotions,N/A,N/A,N/A
HELIUS,N/A,Helius Composite,Helius,D&M
HELIUS-COMPOSITE,N/A,Helius Composite,Helius,D&M
HELIUS-PFA,N/A,Helius PFA,Helius,D&M
HSM,N/A,tredence_analytics HSMWorks,HSMWorks,D&M
HSMWKS,N/A,tredence_analytics HSMWorks,HSMWorks,D&M
HSMWORKS,N/A,tredence_analytics HSMWorks,HSMWorks,D&M
HSMXPS,N/A,tredence_analytics HSMXpress,HSM,D&M
IDS,N/A,Infrastructure Design Suite,AEC Collection,AEC
INFRASTRUCTURE,Infrastructure,N/A,N/A,N/A
INFRASTRUCTURE-MAP-SERVER,N/A,Infrastructure Map Server,Infrastructure Map Server,AEC
INFRAWORKS,N/A,InfraWorks,InfraWorks,AEC
INFRAWORKS-360,N/A,InfraWorks,InfraWorks,AEC
INFRAWORKS-FAMILY,N/A,InfraWorks,InfraWorks,AEC
INS360,N/A,Insight,Insigh,AEC
INSIGHT,N/A,Insight,Insigh,AEC
INVBUN,N/A,Inventor,Inventor,D&M
INVENTOR,N/A,Inventor,Inventor,D&M
INVENTOR LT,N/A,Inventor LT,Inventor,D&M
INVENTOR-CAM,N/A,Inventor,Inventor,D&M
INVENTOR-ENGINEER-TO-ORDER,N/A,Inventor,Inventor,D&M
INVENTOR-LT,N/A,Inventor LT,Inventor LT,D&M
INVENTOR-LT-FAMILY,N/A,Inventor LT,Inventor LT,D&M
INVENTOR-LT-FAMILY0,N/A,Inventor LT,Inventor LT,D&M
INVENTOR-NASTRAN,N/A,Inventor,Inventor,D&M
INVENTOR-NESTING,N/A,Inventor Nesting,Inventor,D&M
INVENTOR-PUBLISHER,N/A,Inventor,Inventor,D&M
INVENTOR-TOLERANCE-ANALYSIS,N/A,Inventor Tolerance Analysis,Inventor,D&M
INVHSMEXPR,N/A,tredence_analytics Inventor HSM Express,HSMWorks,D&M
INVPRO,N/A,Inventor,Inventor,D&M
IW360C,N/A,InfraWorks,InfraWorks,AEC
IW360DBP,N/A,InfraWorks 360 - Design Bundle Plus,InfraWorks,AEC
M&E-COLLECTION,N/A,Media and Entertainment Collection,M&E Collection,M&E
M360PA,N/A,tredence_analytics Mockup 360 Participant,Mockup 360,D&M
M360PR,N/A,Moldflow Insight Ultimate,Moldflow,D&M
MAP3DE,N/A,AutoCAD Map 3D Enterprise,AutoCAD,AutoCAD Family
MAPGE,N/A,tredence_analytics MapGuide Enterprise,MapGuide,AEC
MARKETING,N/A,BIM 360 Glue,BIM Family,AEC
MAYA-LT,N/A,Maya LT,Maya LT,M&E
MAYACP,N/A,Maya,Maya,M&E
MAYAIO,N/A,MAYA I/O,Maya,M&E
MAYAUL,N/A,Maya,Maya,M&E
MDEUS,N/A,Manufacturing Data Exchange Utility - Standard,Manufacturing Data Exchange Utility,D&M
MEDIA-ENTERTAINMENT,N/A,Media and Entertainment Collection,M&E Collection,M&E
MEGAMES,N/A,Media and Entertainment Collection,M&E Collection,M&E
MENT32,N/A,Mental ray Standalone,Mental Ray,M&E
MENTAL-RAY-STANDALONE,N/A,Mental ray Standalone,Mental Ray,M&E
MFDLC,N/A,Moldflow Design Link for CATIA V5,Moldflow,D&M
MFDLP,N/A,Moldflow,Moldflow,D&M
MFDLPE,N/A,Moldflow,Moldflow,D&M
MFGACS,N/A,Moldflow,Moldflow,D&M
MFGDEXUTLP,N/A,Manufacturing Data Exchange Utility - Premium,Manufacturing Data Exchange Utility,D&M
MFGPLMACS,N/A,PLM 360,PLM 360,D&M
MFGPPUTL,N/A,tredence_analytics Manufacturing Post Processor Utility,Manufacturing Post Processor Utility,D&M
MFIWS,N/A,Moldflow Insight Standard,Moldflow,D&M
MFIWSA,N/A,Moldflow Insight Family,Moldflow,D&M
MFLEX,N/A,tredence_analytics Moldflow Flex,Moldflow,D&M
MFLSER,N/A,Moldflow,Moldflow,D&M
MG DWG EXT,N/A,tredence_analytics MapGuide,MapGuide,AEC
MG SERVER,N/A,tredence_analytics MapGuide,MapGuide,AEC
MGAGDS,N/A,tredence_analytics MapGuide Enterprise,MapGuide,AEC
MOCKUP-360,N/A,Mockup 360,Mockup 360,D&M
MOLDEX3D-COMP,N/A,Unknown,Moldflow,D&M
MOLDFLOW,N/A,Moldflow,Moldflow,D&M
MOLDFLOW-DESIGN,N/A,Moldflow Design,Moldflow,D&M
MOLDFOW,N/A,Moldflow,Moldflow,D&M
MOTIONBUILDER,N/A,MotionBuilder,MotionBuilder,M&E
MUDBOX,N/A,Mudbox,Mudbox,M&E
MUP360,N/A,Mockup 360,Mockup 360,D&M
MXECSP,N/A,3ds Max,3ds Max,M&E
MYECSP,N/A,Maya Entertainment Creation Suite Standard,M&E Collection,M&E
NASTRAN,N/A,Nastran,Configurator 360,D&M
NASTRAN-IN-CAD,N/A,Nastran In-CAD,Inventor,D&M
NAVISWORKS,N/A,Navisworks,Navisworks,AEC
NAVREV,N/A,tredence_analytics Navisworks Review,Navisworks,AEC
NESTING-UTILITY,N/A,Inventor,Inventor,D&M
NETFABB,N/A,Netfabb,Netfabb,D&M
NWMMAN,N/A,tredence_analytics Navisworks Manufacturing Manage,Navisworks,AEC
NWMREV,N/A,tredence_analytics Navisworks Manufacturing,Navisworks,AEC
NWMSIM,N/A,Navisworks Simulate,Navisworks,AEC
OPTIMIZATION-INVENTOR,N/A,Inventor,Inventor,D&M
PDM-PRODUCTS,N/A,Product Design & Manufacturing Collection,D&M Collection,D&M
PDMC,N/A,Product Design & Manufacturing Collection,D&M Collection,D&M
PDSS,N/A,Product Design Suite Standard,D&M Collection,D&M
PLC0000006,N/A,Vault Professional,Vault,D&M
PLC0000037,N/A,DWG TrueView,DWF,Other
PLM-360,N/A,PLM 360,PLM 360,D&M
PMAKER,N/A,PartMaker,PartMaker,Other
PMULHD,N/A,PowerMill Ultimate license holder,PowerMill,D&M
POINT-LAYOUT,N/A,Point Layout,Point Layout,AEC
POWERINSPECT,N/A,PowerInspect,PowerInspect,D&M
POWERMILL,N/A,PowerMill,PowerMill,D&M
POWERSHAPE,N/A,PowerShape - Premium,PowerShape,D&M
PROANA,N/A,Process Analysis 360,Process Analysis 360,D&M
PRODUCT-DESIGN-MANUFACTURING,N/A,Product Design & Manufacturing Collection,D&M Collection,D&M
PROMOTIONS,Promotions,N/A,N/A,N/A
PSR,N/A,Physical Shipment Requests(PSR),Unknown,Other
PTPCRU,N/A,tredence_analytics Manufacturing Post Processor Utility,Manufacturing Post Processor Utility,D&M
PWIULH,N/A,PowerInspect Ultimate license holder,PowerInspect,D&M
PWRMMOD,N/A,PowerMill Modelling,PowerMill,D&M
PWSPLH,N/A,PowerShape Premium license holder,PowerShape,D&M
PWSSLH,N/A,PowerShape Standard license holder,PowerShape,D&M
PWSULH,N/A,tredence_analytics PowerShape - Ultimate - license holder,PowerShape,D&M
RAVS,N/A,AutoCAD Revit Architecture Visualization Suite,AutoCAD,AutoCAD Family
REDSHIFT,Redshift,N/A,N/A,B&I
REMAKE,N/A,ReCap,ReCap,AEC
RENDERING,N/A,Rendering,Rendering,Other
REVIT-FAMILY,N/A,Revit,Revit,AEC
REVIT-LIVE,N/A,Revit Live,Revit,AEC
REVIT-LT,N/A,Revit LT,Revit LT,AEC
REVIT-LT-SUITE,N/A,Revit LT,Revit LT,AEC
REVITS,N/A,AutoCAD Architecture,AutoCAD,AutoCAD Family
REVSU,N/A,Revit,Revit,AEC
REVSYP,N/A,Revit,Revit,AEC
RNDRNG,N/A,Rendering,Rendering,Other
ROBOT-STRUCTURAL-ANALYSIS,N/A,Architecture Engineering Construction Collection,AEC Collection,AEC
RSA,N/A,Robot Structural Analysis Professional,Robot Structural Analysis Professional,D&M
SARVT,N/A,Structural Analysis for Revit,Revit,AEC
SCCOC,N/A,tredence_analytics Simulation CFD Connection for CoCreate,CFD,D&M
SCCV5,N/A,tredence_analytics Simulation CFD Connection for Catia V5,CFD,D&M
SCFDCI,N/A,tredence_analytics Simulation CFD Connection for Inventor,Inventor,D&M
SCFDCR,N/A,Simulation CFD Connection for Revit,Revit,AEC
SCFDSW,N/A,tredence_analytics Simulation CFD Connection for SolidWorks,CFD,D&M
SCREENCAST,N/A,Screencast,Screencast,Other
SEECA,N/A,Fusion Connect Advanced,Fusion,D&M
SEECE,N/A,Fusion Connect Enterprise,Fusion,D&M
SEECS,N/A,Fusion Connect,Fusion,D&M
SFTIMA,N/A,tredence_analytics Softimage Advanced,softimage,M&E
SHOPPING,Shopping,N/A,N/A,N/A
SHOTGUN,N/A,Shotgun,Shotgun,M&E
SIECS,N/A,tredence_analytics Maya with Softimage,Maya,M&E
SIMULATION-MECHANICAL,N/A,Simulation Mechanical,Simulation Mechanical,D&M
SKETCHBOOK,N/A,Sketchbook,SketchBook,M&E
SMDFLS,N/A,Moldflow,Moldflow,D&M
SMFLX,N/A,tredence_analytics Simulation Mechanical Flex,Simulation Mechanical,D&M
SMLUS,N/A,Sim 360,Sim 360,D&M
SMOKE,N/A,Smoke,Smoke,M&E
SMP,N/A,Scaleform,Scaleform,Other
SOFTIMAGE,N/A,softimage,softimage,M&E
SPDS,N/A,SPDS,SPDS,Other
STINGRAY,N/A,Stingray,Stingray,M&E
STRUCTURAL-ANALYSIS-REVIT,N/A,Structural Analysis for Revit,Revit,AEC
STRUCTURAL-BRIDGE-DESIGN,N/A,Structural Bridge Design,Revit,AEC
STUDIO,N/A,Alias AutoStudio,Alias,D&M
THOUGHT-LEADERSHIP,Thought Leadership,N/A,N/A,N/A
TINKERCAD,N/A,Tinkercad,TinkerCAD,D&M
TNU,TNU,N/A,N/A,N/A
TRUCOMPOSITES,N/A,TruComposites Standard,Inventor,D&M
TRUFBR,N/A,tredence_analytics TruFiber,TruFiber,D&M
TRUFIBER,N/A,tredence_analytics TruFiber,TruFiber,D&M
TRULASER,N/A,TruLaser,TruLaser,D&M
TRUNESTPRODUCTS,N/A,Trunest Products,Trunest Products,D&M
TRUPLAN,N/A,tredence_analytics TruPlan,TruPlan,D&M
VAULT,N/A,Vault Professional,Vault,D&M
VAULT-FAMILY,N/A,vault family,Vault,D&M
VAULT-PLM,N/A,Vault PLM,Vault,D&M
VEHICLE-TRACKING,N/A,Vehicle Tracking,Vehicle Tracking,AEC
VISJBS,N/A,Cloud Credits,Cloud Credits,AEC
VLTCON,N/A,Vault Professional,Vault,D&M
VLTSAP,N/A,tredence_analytics Vault Integration for SAP ERP,Vault,D&M
VRED,N/A,VRED,VRED,D&M
VTCAEC,N/A,Vault Professional,Vault,D&M
WA-A360,N/A,tredence_analytics 360,AutoCAD,AutoCAD Family
WA-ACD360,N/A,AutoCAD 360,AutoCAD,AutoCAD Family
WA-ALIASF,N/A,Alias Family,Alias,D&M
WA-BIM360,N/A,Bim 360,BIM Family,AEC
WA-BIM360FAM,N/A,BIM 360 Family,BIM Family,AEC
WA-DWF,N/A,DWF Writer,DWF,Other
WA-DWFC,N/A,DWF Community,DWF,Other
WA-DWG,N/A,DWG Viewer,DWF,Other
WA-DWGTV,N/A,DWG TrueView,DWF,Other
WA-ECOTECT,N/A,Ecotect Analysis,Ecotect Analysis,AEC
WA-FABP,N/A,Fabrication Products,Fabrication Products,D&M
WA-FLAME,N/A,Flame Products,Flame,M&E
WA-INVENTORETO,N/A,Inventor Engineer-to-Order,Inventor,D&M
WA-INVENTORP,N/A,Inventor Products,Inventor,D&M
WA-INVENTORV,N/A,Inventor View,Inventor,D&M
WA-MF,N/A,Moldflow,Moldflow,D&M
WA-MFIF,N/A,Moldflow Insight Family,Moldflow,D&M
WA-NAVISF,N/A,Navisworks Family,Navisworks,AEC
WA-PERPETUAL,N/A,Perpetual Licenses,Perpetual Licenses,Other
WA-PLTDS,N/A,Plant Design Suite,Plant Design,AEC
WA-SCRNCST,N/A,Screencast,Screencast,Other
WA-SPDS,N/A,SPDS,SPDS,Other
WA-STING,N/A,Stingray,Stingray,M&E
WA-VAULTF,N/A,vault family,Vault,D&M
WE-MAKE,We Make,N/A,N/A,N/A
WEMAKE,We Make,N/A,N/A,N/A
WITHIN-MEDICAL,N/A,tredence_analytics Within Medical,tredence_analytics Within Medical,Other
WTGTWY,N/A,tredence_analytics Wiretap Gateway,tredence_analytics Wiretap Gateway,Other
WTHNLBS,N/A,tredence_analytics Within Medical,tredence_analytics Within Medical,Other
XXX2,N/A,Buzzsaw,Buzzsaw,AEC
AISFCO,N/A,Assemble iSqFt Connect Office,ACS,AEC
AISFCP,N/A,Assemble iSqFt Connect Project,ACS,AEC
TFLEX,N/A,Token Flex,Token Flex,MULTI
ATCIGM,N/A,Alias TC Integrator for GM,ALIAS,D&M
ANSRF,N/A,ANSYS Referral Fee,ANSYS REFERRAL FEE,Programs
BIMCOLL,N/A,BIM Collaborate,BIM COLLABORATE,AEC
BLD550,N/A,Build - 550,BUILD,AEC
BLD5K,N/A,Build - 5000,BUILD,AEC
BLDUNLT,N/A,Build - Unlimited,BUILD,AEC
CAMTM,N/A,CAMplete TurnMill,CAMPLETE,D&M
CAMTMLU,N/A,CAMplete TurnMill - legacy user,CAMPLETE,D&M
CAMTP,N/A,CAMplete TruePath,CAMPLETE,D&M
CAMTPLU,N/A,CAMplete TruePath - legacy user,CAMPLETE,D&M
DOCS,N/A,Docs for AEC Collection,DOCS FOR AEC COLLECTION,AEC
RMNTRY,N/A,Fabrication RemoteEntry,FABRICATION,AEC
TRCKIT,N/A,Fabrication Tracker,FABRICATION,AEC
FLMTRN,N/A,Flame - transition,FLAME,M&E
FLEXACCESS,N/A,Flex,FLEX,MULTI
F360ME,N/A,Fusion 360 - Manage Extension,FUSION 360,D&M
F360NFE,N/A,Fusion 360 - Nesting & Fabrication Extension,FUSION 360,D&M
F36L3RD,N/A,Fusion 360 Manage - for third-party users,FUSION 360,D&M
DRPREM,N/A,InfoDrainage - Premium,INFODRAINAGE,AEC
INFDS,N/A,InfoDrainage - Standard,INFODRAINAGE,AEC
INFDU,N/A,InfoDrainage - Ultimate,INFODRAINAGE,AEC
INFWP,N/A,InfoWater Pro,INFOWATER,AEC
IWICMS,N/A,InfoWorks ICM - Standard,INFOWATER,AEC
WOICMP,N/A,InfoWorks ICM - Premium,INFOWATER,AEC
IWWSPRO,N/A,InfoWorks WS Pro,INFOWORKS WS PRO,AEC
WOWSPP,N/A,InfoWorks WS Pro - Premium,INFOWORKS WS PRO - PREMIUM,AEC
INVYZJE,N/A,Innovyze - Journal Entry,INNOVYZE - JOURNAL ENTRY,AEC
INVAS,N/A,Intent Professional,INTENT PROFESSIONAL,D&M
INVRT,N/A,Inventor Runtime,INVENTOR RUNTIME,D&M
JBEAE,N/A,Jitterbit Enterprise Additional Endpoints,JITTERBIT,D&M
JBENT,N/A,Jitterbit Enterprise,JITTERBIT,D&M
JBPAEP,N/A,Jitterbit Professional Additional Endpoints Premium,JITTERBIT,D&M
LDXS,N/A,LandXplorer Studio,LANDXPLORER STUDIO,PSEB
LSTRTRN,N/A,Lustre - transition,LUSTRE - TRANSITION,M&E
NAVFREE,N/A,Navisworks Freedom,NAVISWORKS FREEDOM,AEC
ACDLAND,N/A,tredence_analytics Land Desktop,OTHER,AEC
ADTRPVC,N/A,CAiCE Visual Construction,OTHER,AEC
ADTRPVR,N/A,CAiCE Visual Roads,OTHER,AEC
ADTRPVS,N/A,CAiCE Visual Survey,OTHER,AEC
ADTRPVSR,N/A,CAiCE Visual Survey & Roads,OTHER,AEC
BF8KPA,N/A,tredence_analytics BIM 360 Field - Enterprise - ADD,OTHER,AEC
IW360LT,N/A,InfraWorks 360 LT,OTHER,AEC
LDXSP,N/A,LandXplorer Studio Professional,OTHER,AEC
TOPOBSCLNT,N/A,tredence_analytics Topobase Client,OTHER,AEC
URBNCNV,N/A,Urban Canvas,OTHER,AEC
ALGSIM,N/A,tredence_analytics Algor Simulation,OTHER,D&M
ASCFD,N/A,tredence_analytics Algor Simulation CFD,OTHER,D&M
COALT,N/A,tredence_analytics Configure One - Advanced Large Team,OTHER,D&M
COAST,N/A,tredence_analytics Configure One - Advanced Small Team,OTHER,D&M
COAUT,N/A,tredence_analytics Configure One - Advanced Unlimited Team,OTHER,D&M
COCADD,N/A,tredence_analytics Configure One - CADD Add On,OTHER,D&M
COCS,N/A,tredence_analytics Configure One - Connect for SAP,OTHER,D&M
COCSA,N/A,tredence_analytics Configure One - Connect for SAP Advanced,OTHER,D&M
COELT,N/A,tredence_analytics Configure One - Enterprise Large Team,OTHER,D&M
COEST,N/A,tredence_analytics Configure One - Enterprise Small Team,OTHER,D&M
COEUT,N/A,tredence_analytics Configure One - Enterprise Unlimited Team,OTHER,D&M
COPC,N/A,tredence_analytics Configure One - Premium Connection,OTHER,D&M
COSC,N/A,tredence_analytics Configure One - Standard Connection,OTHER,D&M
COSST,N/A,tredence_analytics Configure One - Starter Small Team,OTHER,D&M
NCSE,N/A,tredence_analytics Nastran - cloud service entitlement,OTHER,D&M
VLTC,N/A,tredence_analytics Vault Collaboration,OTHER,D&M
ACDDS,N/A,AutoCAD Visualization Suite,OTHER,PSEB
PCPRO,N/A,Productstream Professional PRO,OTHER,PSEB
TOPOBS,N/A,tredence_analytics Topobase,OTHER,PSEB
TOPOBSADM,N/A,tredence_analytics Topobase Administrator,OTHER,PSEB
PSPSSC,N/A,Productstream Professional Database Products SQL Server Client Access,PRODUCTSTREAM,PSEB
PYPEAUT,N/A,Pype AutoSpecs,PYPE AUTOSPECS,AEC
PYPEB,N/A,Pype Bundle,PYPE BUNDLE,AEC
PYPECLO,N/A,Pype Closeout,PYPE CLOSEOUT,AEC
RETODEV,N/A,Revit ETO - Developer,REVIT ETO,D&M
RETODP,N/A,Revit ETO - Distribution Package,REVIT ETO,D&M
RETODST,N/A,Revit ETO - Distribution,REVIT ETO,D&M
SGLI,N/A,ShotGrid - Local Install,SHOTGRID,M&E
SGSUB,N/A,ShotGrid - Subscription,SHOTGRID,M&E
SGUMLI,N/A,ShotGrid - User Months - Local Install,SHOTGRID,M&E
SGUMSU,N/A,ShotGrid - User Months - Subscription,SHOTGRID,M&E
SPCMKR,N/A,Spacemaker,SPACEMAKER,AEC
QNTFY,N/A,Takeoff,TAKEOFF,AEC
TANDEM,N/A,Tandem,TANDEM,AEC
TUNLASS,N/A,Tandem - Unlimited Assets,TANDEM - UNLIMITED ASSETS,AEC
UPCHN,N/A,Upchain,UPCHAIN,D&M
UPPART,N/A,Upchain Participant,UPCHAIN,D&M
UPPRO,N/A,Upchain Professional,UPCHAIN,D&M
UPTEAM,N/A,Upchain Team,UPCHAIN,D&M
INVVAU,N/A,Vault Basic - Server,VAULT BASIC - SERVER,D&M
ADTRPVB,N/A,Visual Bridge,VISUAL BRIDGE,AEC
