_FILE,_LINE,FACEBOOK_ACCOUNT_ID,PUBLISHER,ACCOUNT_ID,_FIVETRAN_SYNCED,CURRENCY,PLATFORM
LOOKUP_TABLE.csv,65,,Display,7695407545,2022-07-21 06:19:30.525 Z,,GDN
LOOKUP_TABLE.csv,85,,Linkedin,507688954,2022-07-21 06:19:30.532 Z,,
LOOKUP_TABLE.csv,86,,Linkedin,503193229,2022-07-21 06:19:30.532 Z,,
LOOKUP_TABLE.csv,87,,Linkedin,503169246,2022-07-21 06:19:30.621 Z,,
LOOKUP_TABLE.csv,88,,Linkedin,503169247,2022-07-21 06:19:30.622 Z,,
LOOKUP_TABLE.csv,89,,Linkedin,507707569,2022-07-21 06:19:30.622 Z,,
LOOKUP_TABLE.csv,90,,Linkedin,508324677,2022-07-21 06:19:30.623 Z,,
LOOKUP_TABLE.csv,91,,Linkedin,503870680,2022-07-21 06:19:30.623 Z,,
LOOKUP_TABLE.csv,92,,Linkedin,507904783,2022-07-21 06:19:30.624 Z,,
LOOKUP_TABLE.csv,93,,Linkedin,507138891,2022-07-21 06:19:30.624 Z,,
LOOKUP_TABLE.csv,94,,Linkedin,508721883,2022-07-21 06:19:30.624 Z,,
LOOKUP_TABLE.csv,95,,Linkedin,506494303,2022-07-21 06:19:30.625 Z,,
LOOKUP_TABLE.csv,96,,Linkedin,508695372,2022-07-21 06:19:30.625 Z,,
LOOKUP_TABLE.csv,97,,Twitter,j0yqr,2022-07-21 06:19:30.626 Z,,
,,,Facebook,1549454625099158,2022-07-27 00:00:00.000 Z,USD,
,,,Facebook,728109657661401,2022-07-27 00:00:00.000 Z,USD,
,,,Facebook,279291108768834,2022-07-27 00:00:00.000 Z,USD,
,,,Facebook,321415217,2022-07-27 00:00:00.000 Z,USD,
,,,Facebook,2201420453472009,2022-07-27 00:00:00.000 Z,USD,
,,,Facebook,389231205102691,2022-07-27 00:00:00.000 Z,USD,
,,,Facebook,1566874010023886,2022-07-27 00:00:00.000 Z,USD,
,,,Facebook,1334421646602458,2022-07-27 00:00:00.000 Z,USD,
Manual Ingestion on 2023-10-04,98,,Linkedin,502539931,2023-10-04 11:04:02.609 Z,,
Manual Ingestion on 2023-10-04,99,,Linkedin,503368442,2023-10-04 11:05:01.380 Z,,
,,,Facebook,1109602385751053,2022-07-27 00:00:00.000 Z,USD,
,,,Facebook,101456066693354,2022-07-27 00:00:00.000 Z,USD,
,,,Facebook,1509132649319398,2022-07-27 00:00:00.000 Z,USD,
,,,Facebook,1447670715458051,2022-07-27 00:00:00.000 Z,USD,
,,,Facebook,812298575481437,2022-07-27 00:00:00.000 Z,USD,
,,,Facebook,1029120611027915,2022-07-27 00:00:00.000 Z,USD,
,,,Facebook,1020699608858903,2022-07-27 00:00:00.000 Z,USD,
,,,Facebook,285895052862844,2022-07-27 00:00:00.000 Z,USD,
,,,Facebook,678252792720844,2022-07-27 00:00:00.000 Z,USD,
,,,Facebook,1421530604883290,2022-07-27 00:00:00.000 Z,USD,
Manual Ingestion on 2023-10-04,100,,Facebook,113779812314820,2023-10-04 11:05:17.652 Z,USD,
Manual Ingestion on 2023-11-08,101,,Linkedin,506904624,2023-11-08 10:56:11.908 Z,,
,,,Linkedin,513346551,,,
Manual Ingestion on 2025-07-21,102,,Display,2019640883,2025-07-21 10:56:11.908 Z,,GDN
Manual Ingestion on 2025-07-21,103,,Display,2540964992,2025-07-21 10:56:11.908 Z,,GDN
Manual Ingestion on 2025-07-21,104,,Display,2617193582,2025-07-21 10:56:11.908 Z,,GDN
Manual Ingestion on 2025-07-21,105,,Display,3173196223,2025-07-21 10:56:11.908 Z,,GDN
Manual Ingestion on 2025-07-21,106,,Display,3562236807,2025-07-21 10:56:11.908 Z,,GDN
Manual Ingestion on 2025-07-21,107,,Display,4843628605,2025-07-21 10:56:11.908 Z,,GDN
Manual Ingestion on 2025-07-21,108,,Display,7178555431,2025-07-21 10:56:11.908 Z,,GDN
Manual Ingestion on 2025-07-21,109,,Display,8514382927,2025-07-21 10:56:11.908 Z,,GDN
Manual Ingestion on 2025-07-21,110,,Display,8739130543,2025-07-21 10:56:11.908 Z,,GDN
Manual Ingestion on 2025-07-21,111,,Display,9882846948,2025-07-21 10:56:11.908 Z,,GDN
Manual Ingestion on 2025-08-14,112,,Linkedin,512766974,2025-07-21 10:56:11.908 Z,,
Manual Ingestion on 2025-08-14,113,,Linkedin,502531268,2025-07-21 10:56:11.908 Z,,
Manual Ingestion on 2026-02-16,115,,Linkedin,505596333,2026-02-16 10:56:11.908 Z,,
Manual Ingestion on 2026-02-16,116,,Linkedin,512767775,2026-02-16 10:56:11.908 Z,,
